val_BLEU_4,epoch,train_loss,val_BLEU_1,val_BLEU_2,val_BLEU_3,val_METEOR,val_ROUGE_L,val_loss,test_BLEU_1,test_BLEU_2,test_BLEU_3,test_BLEU_4,test_METEOR,test_ROUGE_L,time,seed,best_model_from
0.1426175696481852,15,0.9662597344471858,0.435183927437984,0.2693687562680606,0.1898005467050134,0.1702718097192536,0.3374930160617781,1.4962885630758185,0.4846198799340974,0.3165079445616348,0.2368148903375488,0.1880877563467185,0.1967919239015073,0.3738867116616621,Wed Mar 16 14:51:36 2022,9223,val
0.1426175696481852,15,0.9662597344471858,0.435183927437984,0.2693687562680606,0.1898005467050134,0.1702718097192536,0.3374930160617781,1.4962885630758185,0.4846198799340974,0.3165079445616348,0.2368148903375488,0.1880877563467185,0.1967919239015073,0.3738867116616621,Wed Mar 16 14:51:36 2022,9223,test
0.1386643343150371,14,0.9982632416945236,0.4253120370487869,0.2667495022835715,0.1860057481519192,0.1727698613679918,0.3411918370206745,1.5418005052365755,0.4672291311084609,0.303075859595399,0.2207677554821186,0.1708001560493802,0.1922463737572502,0.365735647996987,Wed Mar 16 22:10:55 2022,9223,val
0.1386643343150371,14,0.9982632416945236,0.4253120370487869,0.2667495022835715,0.1860057481519192,0.1727698613679918,0.3411918370206745,1.5418005052365755,0.4672291311084609,0.303075859595399,0.2207677554821186,0.1708001560493802,0.1922463737572502,0.365735647996987,Wed Mar 16 22:10:55 2022,9223,test
0.1130607803149258,16,0.7982665559420219,0.4069073206576277,0.2470820615403144,0.1651071772154944,0.1702747839503871,0.3144426496639405,1.6253343130412854,0.4094459078515454,0.2577753970315639,0.1811409073190956,0.1331585571358764,0.1899670652000105,0.3364764370579915,Thu Mar 17 00:22:18 2022,9223,val
0.1026257512694277,10,1.218028744367453,0.3931902618910644,0.2174558092507641,0.1433325075614402,0.1450522223064933,0.3063696672467432,1.5553963811774003,0.4342829700128319,0.258815587284657,0.1838086071463386,0.1403731267616465,0.1665222434678377,0.3374936300722629,Thu Mar 17 00:22:18 2022,9223,test
0.1426175696481852,15,0.9662597344471858,0.435183927437984,0.2693687562680606,0.1898005467050134,0.1702718097192536,0.3374930160617781,1.4962885630758185,0.4846198799340974,0.3165079445616348,0.2368148903375488,0.1880877563467185,0.1967919239015073,0.3738867116616621,Thu Mar 17 13:23:25 2022,9223,val
0.1426175696481852,15,0.9662597344471858,0.435183927437984,0.2693687562680606,0.1898005467050134,0.1702718097192536,0.3374930160617781,1.4962885630758185,0.4846198799340974,0.3165079445616348,0.2368148903375488,0.1880877563467185,0.1967919239015073,0.3738867116616621,Thu Mar 17 13:23:25 2022,9223,test
0.1157052992996962,1,3.832584366431603,0.3126222749568691,0.2111982697623975,0.1535534393397985,0.1498299834213871,0.3632560750939721,2.780903038225676,0.3561177409116124,0.2383881631420898,0.1744001066770211,0.1324754665503236,0.1646548028370351,0.3782225276175559,Thu Mar 17 14:46:55 2022,9223,val
0.1157052992996962,1,3.832584366431603,0.3126222749568691,0.2111982697623975,0.1535534393397985,0.1498299834213871,0.3632560750939721,2.780903038225676,0.3561177409116124,0.2383881631420898,0.1744001066770211,0.1324754665503236,0.1646548028370351,0.3782225276175559,Thu Mar 17 14:46:55 2022,9223,test
0.1371448470012936,15,1.0536873748669258,0.4326450956941801,0.2645080098642621,0.1842518290480398,0.1664304462494548,0.3355192487886862,1.4983508147691424,0.4730353583044553,0.3074827017760658,0.2298259461479387,0.1826109349909009,0.1920094043468965,0.3680961914688374,Thu Mar 17 20:01:35 2022,9223,val
0.1371448470012936,15,1.0536873748669258,0.4326450956941801,0.2645080098642621,0.1842518290480398,0.1664304462494548,0.3355192487886862,1.4983508147691424,0.4730353583044553,0.3074827017760658,0.2298259461479387,0.1826109349909009,0.1920094043468965,0.3680961914688374,Thu Mar 17 20:01:35 2022,9223,test
0.1130607803149258,16,0.7982665559420219,0.4069073206576277,0.2470820615403144,0.1651071772154944,0.1702747839503871,0.3144426496639405,1.6253343130412854,0.4094459078515454,0.2577753970315639,0.1811409073190956,0.1331585571358764,0.1899670652000105,0.3364764370579915,Thu Mar 17 22:01:16 2022,9223,val
0.1026257512694277,10,1.218028744367453,0.3931902618910644,0.2174558092507641,0.1433325075614402,0.1450522223064933,0.3063696672467432,1.5553963811774003,0.4342829700128319,0.258815587284657,0.1838086071463386,0.1403731267616465,0.1665222434678377,0.3374936300722629,Thu Mar 17 22:01:16 2022,9223,test
0.1204844726580488,3,2.3133170833954444,0.3550484335932013,0.2323820365279078,0.1679605584898749,0.1348456846854233,0.328424772812651,2.13363558367679,0.38587547242087,0.2528587833884442,0.1854087462441909,0.1354691658552624,0.1450218868723264,0.3373405396606908,Fri Mar 18 02:44:49 2022,9223,val
0.1204844726580488,3,2.3133170833954444,0.3550484335932013,0.2323820365279078,0.1679605584898749,0.1348456846854233,0.328424772812651,2.13363558367679,0.38587547242087,0.2528587833884442,0.1854087462441909,0.1354691658552624,0.1450218868723264,0.3373405396606908,Fri Mar 18 02:44:49 2022,9223,test
0.1426175696481852,15,0.9662597344471858,0.435183927437984,0.2693687562680606,0.1898005467050134,0.1702718097192536,0.3374930160617781,1.4962885630758185,0.4846198799340974,0.3165079445616348,0.2368148903375488,0.1880877563467185,0.1967919239015073,0.3738867116616621,Fri Mar 18 13:03:12 2022,9223,val
0.1426175696481852,15,0.9662597344471858,0.435183927437984,0.2693687562680606,0.1898005467050134,0.1702718097192536,0.3374930160617781,1.4962885630758185,0.4846198799340974,0.3165079445616348,0.2368148903375488,0.1880877563467185,0.1967919239015073,0.3738867116616621,Fri Mar 18 13:03:12 2022,9223,test
0.0889492855269491,22,3.67376789863293,0.2681284296110786,0.1781738932575461,0.1248444692436124,0.1253807248968399,0.3457420379881631,3.5121303734026457,0.3103061822523931,0.2060388708126646,0.145343365863845,0.1050184084638338,0.1405817042194681,0.3607288104060446,Fri Mar 18 14:51:33 2022,9223,val
0.0876701209848466,23,3.639227309593788,0.2664236837553304,0.1755861899708326,0.1231584676834716,0.1245859996347014,0.3467839882413016,3.4763482620841577,0.3046007088717107,0.203461334263529,0.1456575374313099,0.106693363835371,0.1375851944609036,0.3572149735535327,Fri Mar 18 14:51:33 2022,9223,test
7.76915420946713e-07,4,4.768444849894597,0.2248629722909148,0.1053581938592918,0.0150803242767638,0.0529120204576104,0.2091538673313902,4.648721393785979,0.2118216959436212,0.0969673975059971,7.874463054891438e-08,7.151498970059003e-11,0.0553138077416944,0.2040736791804708,Fri Mar 18 18:13:07 2022,9223,val
